time(h),formaldehyde(ug/m³)
22.2333333333333,667.6
22.2666666666667,646.8
22.3,674.1
22.3333333333333,727.4
22.3666666666667,643.5
22.4,648.9
22.4333333333333,628.0
22.4666666666667,632.3
22.5,632.9
22.5333333333333,620.1
22.5666666666667,607.2
22.6,592.6
22.6333333333333,655.9
22.6666666666667,638.7
22.7,596.4
22.7333333333333,665.9
22.7666666666667,623.8
22.8,688.1
22.8333333333333,622.5
22.8666666666667,665.6
22.9,654.4
22.9333333333333,640.8
22.9666666666667,640.8
23.0,627.1
23.0333333333333,657.3
23.0666666666667,668.8
23.1,555.9
23.1333333333333,669.5
23.1666666666667,646.7
23.2,709.9
23.2333333333333,624.4
23.2666666666667,668.1
23.3,546.1
23.3333333333333,627.1
23.3666666666667,618.7
23.4,585.1
23.4333333333333,621.3
23.4666666666667,587.7
23.5,571.2
23.5333333333333,610.0
23.5666666666667,636.1
23.6,579.3
23.6333333333333,585.0
23.6666666666667,632.9
23.7,689.0
23.7333333333333,656.3
23.7666666666667,621.2
23.8,622.6
23.8333333333333,597.3
23.8666666666667,610.6
23.9,626.1
23.9333333333333,620.4
23.9666666666667,577.9
24.0,673.5
24.0333333333333,608.5
24.0666666666667,604.5
24.1,699.9
24.1333333333333,641.5
24.1666666666667,589.2
24.2,599.8
24.2333333333333,643.2
